if_ncov,old_gis_id,new_id,station_full_name,station,station_train_name,province_city,lat,long,address,province,city,站名,lng火星,lat火星,type,WGS84_Lng,WGS84_Lat,if_in_gis
#N/A,60563400102,3942,茶坞站,茶坞,茶坞火车站,,40.278209,116.549596,,,,,116.549596,40.278209,freight,116.54371,40.277086,1
#N/A,42562400167,3943,寺前站,寺前,寺前火车站,,28.24998,116.558927,,,,,116.558927,28.24998,freight,116.554231,28.253439,1
#N/A,49560400113,3944,张集站,张集,张集火车站,,32.705616,116.515049,,,,,116.515049,32.705616,freight,116.509865,32.707685,1
#N/A,60563400086,3945,平义分站,平义分,平义分火车站,,40.279256,116.520953,,,,,116.520953,40.279256,freight,116.514978,40.278062,1
#N/A,55565400074,3946,林庄站,林庄,林庄火车站,,37.099088,116.505872,,,,,116.505872,37.099088,freight,116.500215,37.098554,1
#N/A,59566400216,3947,百子湾站,百子湾,百子湾火车站,,39.876596,116.511471,,,,,116.511471,39.876596,freight,116.505512,39.87541,1
#N/A,53560400157,3948,朱庄站,朱庄,朱庄火车站,,35.363051,116.500993,,,,,116.500993,35.363051,freight,116.495503,35.363365,1
#N/A,42563400031,3949,军岭站,军岭,军岭火车站,,28.267846,116.502663,,,,,116.502663,28.267846,freight,116.497811,28.271162,1
#N/A,56565300004,3950,连镇站,连镇,连镇火车站,,37.800268,116.479967,,,,,116.479967,37.800268,freight,116.474137,37.799459,1
#N/A,51564300018,3951,李庄站,李庄,李庄火车站,,34.392523,116.486661,,,,,116.486661,34.392523,freight,116.481218,34.393724,1
#N/A,42563300036,3952,衙前车站,衙前车,衙前车火车站,,28.286024,116.452728,,,,,116.452728,28.286024,freight,116.447722,28.289203,1
#N/A,60560300217,3953,望京站,望京,望京火车站,,40.020013,116.472821,,,,,116.472821,40.020013,freight,116.4667,40.018708,1
#N/A,60562300059,3954,兴寿站,兴寿,兴寿火车站,,40.238188,116.42198,,,,,116.42198,40.238188,freight,116.415706,40.236766,1
#N/A,56564300008,3955,吕家寨,吕家,吕家寨,,37.737804,116.45054,,,,,116.45054,37.737804,freight,116.444626,37.736915,1
#N/A,53560300008,3956,新挑河站,新挑河,新挑河火车站,,35.376219,116.421319,,,,,116.421319,35.376219,freight,116.415611,35.376344,1
#N/A,50563300018,3957,青疃站,青疃,青疃火车站,,33.620413,116.421613,,,,,116.421613,33.620413,freight,116.416083,33.621718,1
#N/A,56564300009,3958,安陵站,安陵,安陵火车站,,37.689179,116.395757,,,,,116.395757,37.689179,freight,116.389784,37.688239,1
#N/A,51564300097,3959,范庄站,范庄,范庄火车站,,34.407337,116.401379,,,,,116.401379,34.407337,freight,116.39576,34.408386,1
#N/A,42563300070,3960,下埠集车站,下埠集车,下埠集车火车站,,28.312567,116.38005,,,,,116.38005,28.312567,freight,116.374987,28.315698,1
#N/A,55567300037,3961,三唐站,三唐,三唐火车站,,37.261636,116.386013,,,,,116.386013,37.261636,freight,116.380094,37.260809,1
#N/A,59565300299,3962,大红门站,大红门,大红门火车站,,39.828937,116.373377,,,,,116.373377,39.828937,freight,116.367163,39.827555,1
