"","new_id","timestamp","value","accumulate","out_or_in","station","lat","long","province"
"321",216,"1579219200",0,1,"out","西安北",34.376212,108.938446,"陕西"
"322",265,"1579219200",3,6,"out","沈阳",41.795132,123.393331,"辽宁"
"323",302,"1579219200",0,1,"out","锦州南",41.016765,121.125745,"辽宁"
"324",333,"1579219200",2,2,"out","萨拉齐",40.564477,110.531489,"内蒙古自治区"
"325",507,"1579219200",0,1,"out","大连北",39.016736,121.607407,"辽宁"
"326",771,"1579219200",0,1,"out","怀化",27.557198,109.967323,"湖南"
"327",772,"1579219200",0,2,"out","怀化南",27.511489,109.994749,"湖南"
"328",805,"1579219200",0,3,"out","安陆",31.256575,113.6951,"湖北"
"329",812,"1579219200",0,1,"out","襄阳",32.058011,112.1548,"湖北"
"330",823,"1579219200",9,35,"out","武汉",30.607096,114.42438,"湖北"
"331",857,"1579219200",0,2,"out","株洲",27.835476,113.15673,"湖南"
"332",859,"1579219200",0,2,"out","长沙南",28.146991,113.065259,"湖南"
"333",862,"1579219200",0,5,"out","长沙",28.193949,113.013032,"湖南"
"334",888,"1579219200",1,1,"out","邵阳北",27.574053,111.504501,"湖南"
"335",911,"1579219200",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"336",961,"1579219200",14,49,"out","汉口",30.619097,114.254389,"湖北"
"337",962,"1579219200",12,37,"out","武昌",30.528422,114.317801,"湖北"
"338",969,"1579219200",0,2,"out","荆州",30.369761,112.213011,"湖北"
"339",973,"1579219200",0,1,"out","荆门",31.051049,112.211897,"湖北"
"340",990,"1579219200",0,3,"out","麻城",31.146285,114.96389,"湖北"
"341",1028,"1579219200",0,2,"out","徐州",34.265367,117.207387,"江苏"
"342",1033,"1579219200",0,1,"out","无锡",31.587145,120.305513,"江苏"
"343",1055,"1579219200",0,2,"out","南京南",31.968681,118.797932,"江苏"
"344",1105,"1579219200",0,2,"out","南昌",28.662028,115.919161,"江西"
"345",1108,"1579219200",0,1,"out","南昌西",28.62249,115.792614,"江西"
"346",1119,"1579219200",1,1,"out","吉安",27.105267,115.02108,"江西"
"347",1317,"1579219200",0,2,"out","邢台",37.06985,114.492925,"河北"
"348",1352,"1579219200",0,1,"out","淮滨",32.500942,115.412152,"河南"
"349",1358,"1579219200",0,3,"out","信阳",32.128928,114.082245,"河南"
"350",1435,"1579219200",2,6,"out","高碑店",39.328714,115.858912,"河北"
"351",1465,"1579219200",1,1,"out","海口东",19.983649,110.3432,"海南"
"352",1466,"1579219200",2,2,"out","美兰",19.941569,110.461373,"海南"
"353",1485,"1579219200",0,1,"out","邯郸东",36.62012,114.559179,"河北"
"354",1655,"1579219200",2,2,"out","牡丹江",44.590098,129.612947,"黑龙江"
"355",1666,"1579219200",0,3,"out","哈尔滨",45.761109,126.632312,"黑龙江"
"356",1725,"1579219200",1,7,"out","郑州",34.746377,113.65971,"河南"
"357",1726,"1579219200",2,3,"out","郑州东",34.759186,113.779103,"河南"
