old_gis_id,id,name_simple,name,lat,long,state,transit,out,in,if_new
,7270,凤城东,,40.450851,124.059502,辽宁,火车,0,1,369
,7292,方正,,45.9601625,129.213307,黑龙江,火车,0,3,955
,7305,光山,,32.009995,114.91925,河南,火车,0,4,6
,7313,赣州西,,25.830694,114.933546,江西,火车,0,1,524
,7337,淮南南,,32.625478,116.999932,安徽,火车,0,2,398
,7340,衡水北,,37.744632,115.690978,河北,火车,0,1,768
,7404,临泉,,33.0627376,115.2640179,安徽,火车,0,1,589
,7415,阆中,,31.5846898,105.9755012,四川,火车,1,1,601
,7427,梅州西,,24.268925,116.114409,广东,火车,0,1,959
,7428,南部,,31.3718247,106.0141467,四川,火车,0,2,826
,7430,南充北,,30.807853,106.085121,四川,火车,1,0,625
,7436,内江北,,29.5847526,106.5259081,重庆,火车,0,1,721
,7474,齐齐哈尔南,,47.339265,123.995723,黑龙江,火车,0,3,494
,7496,石林西,,36.669035,116.891435,济南,火车,1,0,384
,7501,睢宁,,33.9004189,117.9872155,江苏,火车,0,1,401
,7505,宿迁,,33.7739019,118.3810981,江苏,火车,0,1,820
,7517,十堰东,,32.50921,111.082196,河北,火车,1,1,28
,7526,塔城,,46.745364,82.980316,新疆维吾尔自治区,火车,0,1,499
,7537,天水南,,34.566208,105.89855,甘肃,火车,0,2,146
,7566,万州北,,30.845716,108.371072,重庆,火车,2,0,116
,7589,兴文,,28.30449,105.228849,四川,火车,0,1,363
,7597,忻州西,,38.9168694,111.8374918,山西,火车,0,1,479
,7598,雅安,,29.980537,103.013261,四川,火车,0,1,784
,7601,宜宾西,,28.751836,104.643159,四川,火车,1,1,987
,7602,永城北,,34.741222,113.66245,河南,火车,2,2,90
,7610,延吉西,,42.908816,129.474043,吉林,火车,0,2,195
,7627,颍上北,,32.653211,116.256772,安徽,火车,0,1,714
,7659,资阳北,,30.128901,104.627636,四川,火车,0,2,613
